ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing,Country_numeric,Continent_numeric,Child friendly_numeric,Snowparks_numeric,Nightskiing_numeric,Summer skiing_numeric,Season_numeric,key,Rank,Other_name,Rating,rank
82,Levi,67.7844055,24.8557289,Finland,Europe,43,November - May,531,206,15,19,2,36,2,267,25,2,2,29,30110,Yes,Yes,Yes,No,14,0,1,1,1,0,7,levi,376.0,Levi,979.2,376.0
83,Niseko,42.804684,140.6873034,Japan,Asia,57,November - May,1200,300,20,16,8,44,0,0,1,26,5,32,42400,Yes,Yes,Yes,No,15,4,1,1,1,0,7,niseko,20.0,Niseko United,1129.6,20.0
84,Kranjska Gora,46.485132,13.7843957,Slovenia,Europe,33,December - April,1215,800,10,8,2,20,2,0,15,5,0,20,17774,Yes,Yes,Yes,No,16,0,1,1,1,0,5,kranjska gora,,,,
85,El Tarter  Pas de la Casa/?Grau Roig/?Soldeu/?Canillo/?Encamp (Grandvalira),42.5803334,1.6496963,Andorra,Europe,47,November - April,2640,1710,100,77,33,210,0,1032,37,28,7,72,99017,Yes,Yes,Yes,No,11,0,1,1,1,0,6,el tarter pas de la casa grau roig soldeu canillo encamp grandvalira,,,,
86,Bansko,41.8344086,23.4841698,Bulgaria,Europe,30,December - April,2560,990,20,24,3,47,16,380,7,8,2,17,24233,Yes,Yes,Yes,No,17,0,1,1,1,0,5,bansko,,,,
87,Alta,42.6736893,-95.3039943,USA,North America,82,November - April,3215,2600,29,46,40,115,4,0,3,7,0,10,13100,Yes,No,Yes,No,10,1,1,0,1,0,6,alta,46.0,Alta Badia,1095.9,46.0
88,Aspen Mountain,39.1760986,-106.8292058,USA,North America,124,November - April,3418,2422,0,49,54,103,4,0,0,7,1,8,13400,Yes,No,No,No,10,1,1,0,0,0,6,aspen,62.0,Aspen Highlands,1080.9,62.0
89,Aspen Highlands,61.103269,-149.7406566,USA,North America,124,December - April,3559,2451,24,40,70,134,5,0,0,5,0,5,7085,Yes,No,No,No,10,1,1,0,0,0,5,aspen highlands,66.0,Aspen Mountain,1078.3,66.0
90,Squaw Valley,36.7402261,-119.246785,USA,North America,102,November - April,2760,1890,25,45,30,100,5,0,6,21,2,29,42932,Yes,Yes,Yes,No,10,1,1,1,1,0,6,squaw,1958.0,Big Squaw,863.0,1958.0
91,Vail,39.6440207,-106.3801669,USA,North America,127,November - April,3433,2457,57,84,93,234,6,0,9,20,2,31,54858,Yes,Yes,No,No,10,1,1,1,0,0,6,vail,52.0,Vail,1091.2,52.0
92,Kitzsteinhorn - Kaprun,47.1880444,12.6874982,Austria,Europe,50,July,3029,1978,13,25,3,41,5,105,5,5,7,17,33598,Yes,Yes,No,Yes,1,0,1,1,0,1,1,kitzsteinhorn kaprun,1643.0,Steinberg am Rofan,876.1,1643.0
93,Snowbasin,41.216317,-111.857428,USA,North America,85,November - April,2850,1950,5,28,15,48,5,400,2,6,3,11,17026,Yes,Yes,No,No,10,1,1,1,0,0,6,snowbasin,105.0,Snowbasin,1047.3,105.0
94,Beaver Creek,39.6048786,-106.5150017,USA,North America,141,November - April,3488,2255,28,64,57,149,4,0,8,13,3,24,38200,Yes,Yes,No,No,10,1,1,1,0,0,6,beaver creek,41.0,Beaver Creek,1101.9,41.0
95,Glencoe Mountain,56.68154175,-5.10644312,United Kingdom,Europe,35,December - April,1070,360,7,10,7,24,0,0,6,2,0,8,5800,Yes,No,No,No,9,0,1,0,0,0,5,glencoe,,,,
96,Sölden,46.9673961,11.0070193,Austria,Europe,53,September - May,3340,1350,70,44,29,143,15,363,12,16,8,36,70370,Yes,Yes,Yes,No,1,0,1,1,1,0,9,solden,30.0,Sölden,1117.3,30.0
97,Kuühtai,47.212049,11.017326,Austria,Europe,37,November - April,2520,1938,6,26,8,40,4,80,6,5,1,12,17254,Yes,Yes,Yes,No,1,0,1,1,1,0,6,kuuhtai,356.0,Kühtai,982.1,356.0
98,Breckenridge,32.7558392,-98.9032554,USA,North America,140,November - April,3914,2926,28,60,65,153,5,0,15,18,1,34,43880,Yes,Yes,No,No,10,1,1,1,0,0,6,breckenridge,51.0,Breckenridge,1092.3,51.0
99,Obertauern,47.2494362,13.5569603,Austria,Europe,46,November - May,2313,1630,61,35,4,100,5,280,11,18,2,31,50797,Yes,Yes,Yes,No,1,0,1,1,1,0,7,obertauern,56.0,Obertauern,1084.9,56.0
100,Elfer Neustift,47.1064691,11.3079828,Austria,Europe,29,December - March,2080,981,0,7,0,7,5,0,3,0,1,4,2980,Yes,No,No,No,1,0,1,0,0,0,4,elfer neustift,682.0,Elfer,935.4,682.0
