ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing,Country_numeric,Continent_numeric,Child friendly_numeric,Snowparks_numeric,Nightskiing_numeric,Summer skiing_numeric,Season_numeric,key,Rank,Other_name,Rating,rank
260,Mont-Sainte-Anne-Beaupre?,47.0877219,-70.92606776,Canada,North America,52,November - April,800,175,15,33,21,69,4,0,4,4,1,9,13200,Yes,Yes,Yes,No,2,1,1,1,1,0,6,mont sainte anne beaupre,554.0,Mont-Sainte-Anne,950.4,554.0
261,49 Degrees North Mountain Resort,48.300619,-117.562991,USA,North America,50,November - April,1760,1195,20,27,21,68,0,0,1,6,0,7,8250,Yes,No,No,No,10,1,1,0,0,0,6,49 degrees north,668.0,49 Degrees North,936.6,668.0
262,Passo San Pellegrino-?Falcade,46.36726075,11.80236956,Italy,Europe,47,November - April,2513,1190,20,38,8,66,0,0,6,9,2,17,24030,Yes,Yes,No,No,7,0,1,1,0,0,6,passo san pellegrino falcade,129.0,Passo San Pellegrino/Falcade,1036.0,129.0
263,Bear Valley,37.5688237,-120.1193489,USA,North America,67,December - April,2590,2011,17,27,23,67,0,0,2,8,0,10,11800,Yes,No,No,No,10,1,1,0,0,0,5,bear,525.0,Bear Mountain,955.0,525.0
264,Apex Resort,49.3900432,-119.9047389,Canada,North America,52,December - April,2180,1575,8,33,26,67,5,8,2,2,0,4,4720,Yes,Yes,Yes,No,2,1,1,1,1,0,5,apex,661.0,Apex Mountain Resort,937.6,661.0
265,Brighton,39.983721,-104.8110775,USA,North America,67,November - April,3200,2668,10,18,38,66,0,0,1,6,0,7,13200,Yes,Yes,Yes,No,10,1,1,1,1,0,6,brighton,202.0,Brighton,1016.9,202.0
266,Piau Engaly,42.78020745,0.158613507,France,Europe,37,November - April,2560,1420,35,22,8,65,0,40,5,5,0,10,13615,Yes,Yes,No,No,8,0,1,1,0,0,6,piau engaly,504.0,Piau-Engaly,959.7,504.0
267,Flumserberg,47.0828502,9.276589934,Switzerland,Europe,51,November - April,665,425,10,38,17,65,6,0,9,8,4,21,30867,Yes,Yes,Yes,No,6,0,1,1,1,0,6,flumserberg,109.0,Flumserberg,1045.8,109.0
268,Super Sauze,44.3578176,6.6855952,France,Europe,30,December - April,2450,1400,35,20,10,65,0,100,18,4,0,22,17948,Yes,Yes,No,No,8,0,1,1,0,0,5,super sauze,393.0,Super Sauze,976.0,393.0
269,Bukovel,48.353783,24.41283,Ukraine,Europe,32,November - May,1372,890,26,28,11,65,2,0,3,15,0,18,33839,Yes,Yes,Yes,No,22,0,1,1,1,0,7,bukovel,,,,
270,La Norma,45.1772565,6.7195145,France,Europe,29,December - April,2750,1350,17,43,5,65,0,126,7,5,1,13,13290,Yes,Yes,No,No,8,0,1,1,0,0,5,la norma,249.0,La Norma,1003.8,249.0
271,Mt. Hood Skibowl,45.3018189,-121.7737856,USA,North America,45,November - April,1510,1120,15,15,35,65,3,0,5,4,0,9,6500,Yes,Yes,Yes,No,10,1,1,1,1,0,6,hood skibowl,982.0,Mt. Hood Skibowl,911.9,982.0
272,Kirkwood,38.5800713,-90.4069177,USA,North America,85,November - April,2987,2377,15,30,20,65,0,0,4,11,0,15,21420,Yes,Yes,No,No,10,1,1,1,0,0,6,kirkwood,133.0,Kirkwood,1035.3,133.0
273,Red Lodge Mountain,45.1907531,-109.3368732,USA,North America,45,November - April,2870,2138,11,30,24,65,0,0,1,6,0,7,10200,Yes,No,No,No,10,1,1,0,0,0,6,red lodge,524.0,Red Lodge Mountain,955.0,524.0
274,Solitude,40.6202462,-111.5919046,USA,North America,71,November - April,3000,2434,20,30,14,64,0,0,0,8,0,8,16400,Yes,No,No,No,10,1,1,0,0,0,6,solitude,215.0,Solitude,1013.1,215.0
275,Pal-?Arinsal-La Massana-Vallnord-,42.55464075,1.448789398,Andorra,Europe,37,December - April,1550,1230,31,24,8,63,7,296,15,12,4,31,37400,Yes,Yes,No,No,11,0,1,1,0,0,5,pal arinsal la massana vallnord,300.0,Pal/Arinsal,992.6,300.0
276,Arabba,46.4971763,11.8740902,Italy,Europe,49,December - April,2478,1602,32,22,8,62,4,620,3,16,4,23,43973,Yes,Yes,No,No,7,0,1,1,0,0,5,arabba,68.0,Arabba/Marmolada,1077.4,68.0
277,Wildkogel-Neukirchen-?Bramberg,47.2743375,12.29774135,Austria,Europe,44,December - April,2150,820,28,25,9,62,14,335,15,4,5,24,27388,Yes,Yes,Yes,No,1,0,1,1,1,0,5,wildkogel neukirchen bramberg,137.0,Wildkogel,1034.2,137.0
278,Alyeska Resort-Girdwood,60.96188655,-149.0808696,USA,North America,68,November - April,840,70,14,31,17,62,4,0,2,6,1,9,11200,Yes,No,Yes,No,10,1,1,0,1,0,6,alyeska girdwood,223.0,Alyeska Resort,1011.0,223.0
279,Hintertux Glacier,47.061277,11.665036,Austria,Europe,52,Year-round,3250,1500,14,35,11,60,7,260,10,6,6,22,38852,Yes,Yes,No,Yes,1,0,1,1,0,1,0,hintertux glacier,32.0,Hintertux Glacier,1112.0,32.0
280,Disentis 3000,46.7041748,8.8549785,Switzerland,Europe,49,December - April,2833,1227,20,30,10,60,10,4,9,3,1,13,10990,Yes,Yes,No,No,6,0,1,1,0,0,5,disentis 3000,147.0,Disentis,1031.6,147.0
281,Belalp-Blatten,46.3648823,7.9796899,Switzerland,Europe,49,December - April,3118,1322,20,20,20,60,0,0,8,3,2,13,13640,Yes,Yes,No,No,6,0,1,1,0,0,5,belalp blatten,123.0,Belalp-Blatten,1040.2,123.0
282,San Martino di Castrozza,46.2623377,11.802828,Italy,Europe,44,November - April,2357,1404,16,32,12,60,3,150,7,14,3,24,29859,Yes,Yes,Yes,No,7,0,1,1,1,0,6,san martino di castrozza,231.0,San Martino di Castrozza,1009.7,231.0
283,Meiringen-Hasliberg,46.7468975,8.219472173,Switzerland,Europe,50,December - April,1055,600,20,34,6,60,8,75,6,4,5,15,16381,Yes,No,Yes,No,6,0,1,0,1,0,5,meiringen hasliberg,178.0,Meiringen-Hasliberg,1022.6,178.0
284,Toggenburg-Wildhaus-?Unterwasser-?Alt St. Johann,47.180949,9.32019222,Switzerland,Europe,52,December - April,2262,900,10,45,5,60,7,55,18,3,4,25,19956,Yes,Yes,Yes,No,6,0,1,1,1,0,5,toggenburg wildhaus unterwasser alt st johann,419.0,Wildhaus,971.5,419.0
285,Alpe di Siusi-Seiser Alm-,46.5639036,11.60457618,Italy,Europe,54,December - April,1669,1000,14,45,1,60,2,70,9,15,3,27,35624,Yes,Yes,No,No,7,0,1,1,0,0,5,alpe di siusi seiser alm,106.0,Alpe di Siusi,1047.0,106.0
286,Le Lioran,45.0912003,2.7503788,France,Europe,31,December - April,1850,1160,30,20,10,60,0,241,13,8,1,22,25195,Yes,Yes,Yes,No,8,0,1,1,1,0,5,le lioran,567.0,Le Lioran,948.6,567.0
287,Saint Luc-?Chandolin-Anniviers-,46.236536,7.627631245,Switzerland,Europe,47,December - April,3025,1655,20,30,10,60,0,104,11,3,1,15,10350,Yes,Yes,No,No,6,0,1,1,0,0,5,saint luc chandolin anniviers,153.0,Saint Luc/Chandolin,1029.8,153.0
288,Les Karellis,45.2285712,6.4064649,France,Europe,27,December - April,2520,1600,26,25,9,60,0,98,10,6,0,16,17452,Yes,Yes,No,No,8,0,1,1,0,0,5,les karellis,362.0,Les Angles,981.2,362.0
289,Peyragudes,42.7807436,0.45611311,France,Europe,40,December - April,2400,1600,30,26,4,60,0,230,8,9,0,17,22791,Yes,Yes,No,No,8,0,1,1,0,0,5,peyragudes,385.0,Peyragudes,977.3,385.0
290,Leysin,46.3438701,7.0148403,Switzerland,Europe,45,December - April,2205,1250,43,15,2,60,0,72,8,7,1,16,12980,Yes,Yes,No,No,6,0,1,1,0,0,5,leysin,280.0,Leysin,996.8,280.0
291,Gudauri,42.4765577,44.4770286,Georgia,Asia,14,December - April,3279,1990,22,28,10,60,0,29,7,6,1,14,15400,Yes,Yes,Yes,No,23,4,1,1,1,0,5,gudauri,,,,
292,Mount Snow,42.9589685,-72.9237112,USA,North America,81,November - April,1095,585,6,46,8,60,0,254,6,14,0,20,27000,Yes,Yes,No,No,10,1,1,1,0,0,6,mount,375.0,Mount Washington,979.4,375.0
293,Mount Washington,49.7528282,-125.2963912,Canada,North America,64,December - April,1588,1083,12,21,27,60,3,0,5,5,0,10,11620,Yes,Yes,Yes,No,2,1,1,1,1,0,5,mount washington,555.0,Mount Snow,950.2,555.0
294,Ponte di Legno-Passo ?Tonale-?Presena Glacier-?Temu?-Pontedilegno-Tonale-,46.258603,10.508662,Italy,Europe,42,October - May,3016,1121,10,40,9,59,11,0,7,19,4,30,49825,Yes,Yes,Yes,No,7,0,1,1,1,0,8,ponte di legno passo tonale presena glacier temu pontedilegno tonale,75.0,Ponte di Legno-Tonale,1071.6,75.0
295,Gore Mountain,40.2235948,-106.6575409,USA,North America,71,November - April,1097,304,6,28,23,57,4,0,5,9,1,15,21000,Yes,Yes,No,No,10,1,1,1,0,0,6,gore,608.0,Gore Mountain,944.0,608.0
296,Eggli-?La Videmanette-Gstaad-?Saanen-?Rougemont,47.291778,9.1733641,Switzerland,Europe,54,December - March,2151,992,35,17,5,57,0,0,8,4,5,17,15363,Yes,No,No,No,6,0,1,0,0,0,4,eggli la videmanette gstaad saanen rougemont,209.0,Eggli/La Videmanette,1014.9,209.0
297,Anze?re,46.2970711,7.3989488,Switzerland,Europe,46,December - April,2420,1500,12,37,9,58,0,120,10,3,1,14,12462,Yes,Yes,No,No,6,0,1,1,0,0,5,anze re,268.0,Anzère,999.5,268.0
298,Borovets,42.2668301,23.6074324,Bulgaria,Europe,28,December - April,2560,1300,24,29,5,58,12,160,8,4,2,14,15800,Yes,Yes,Yes,No,17,0,1,1,1,0,5,borovets,,,,
299,Font-Romeu-?Bolque?re Pyre?ne?es 2000,42.5043981,2.0715162,France,Europe,38,December - April,2213,1650,30,19,9,58,0,535,15,8,1,24,27378,Yes,Yes,No,No,8,0,1,1,0,0,5,font romeu bolque re pyre ne es 2000,425.0,Font-Romeu/Bolquère Pyrénées 2000,970.9,425.0
300,Oppdal,62.53517845,9.62330412,Norway,Europe,44,Unknown,1300,585,40,7,9,56,0,0,1,0,0,1,0,Yes,No,No,No,0,0,1,0,0,0,0,oppdal,299.0,Oppdal,993.1,299.0
301,Bre?vent-?Fle?ge?re-Chamonix-,45.9479384,6.868594877,France,Europe,51,December - April,2525,1030,11,25,20,56,6,0,6,8,5,19,26734,Yes,Yes,No,No,8,0,1,1,0,0,5,bre vent fle ge re chamonix,517.0,Vent,956.9,517.0
302,Bretton Woods,44.2576311,-71.4413006,USA,North America,76,November - April,945,487,25,16,15,56,0,0,3,7,0,10,15406,Yes,Yes,Yes,No,10,1,1,1,1,0,6,bretton woods,701.0,Bretton Woods,933.6,701.0
303,Les Houches-?Saint-Gervais-Prarion-?Bellevue-Chamonix-,45.891508,6.799138,France,Europe,43,December - April,1000,584,25,25,5,55,4,133,5,8,3,16,19859,Yes,Yes,No,No,8,0,1,1,0,0,5,les houches saint gervais prarion bellevue chamonix,1000.0,Saint-Léger-les-Mélèzes,910.5,1000.0
304,Ylla?s,67.5647092,24.2246252,Finland,Europe,42,November - May,718,200,21,28,6,55,3,36,27,1,1,29,28284,Yes,Yes,Yes,No,14,0,1,1,1,0,7,ylla s,235.0,Ylläs,1008.5,235.0
305,Belvedere-?Col Rodella-?Ciampac-?Buffaure-Canazei-?Campitello-?Alba-?Pozza di Fassa,45.6850704,11.7729604,Italy,Europe,48,December - April,2428,1320,7,40,7,54,6,0,11,18,10,39,56216,Yes,Yes,Yes,No,7,0,1,1,1,0,5,belvedere col rodella ciampac buffaure canazei campitello alba pozza di fassa,110.0,Belvedere/Col Rodella/Ciampac/Buffaure,1045.8,110.0
306,Revelstoke Mountain Resort,50.9692628,-118.1092086,Canada,North America,64,December - April,2225,512,16,18,21,55,15,0,2,2,7,11,9200,Yes,Yes,No,No,2,1,1,1,0,0,5,revelstoke,74.0,Revelstoke Mountain Resort,1072.3,74.0
307,Lauchernalp-Lo?tschental,46.41274665,7.774925326,Switzerland,Europe,48,April,3111,1419,20,17,18,55,10,28,2,2,2,6,6800,Yes,Yes,No,No,6,0,1,1,0,0,1,lauchernalp lo tschental,148.0,Lauchernalp,1031.6,148.0
308,Grossglockner Heiligenblut,47.0745464,12.6938826,Austria,Europe,44,December - April,2989,1301,20,34,1,55,7,60,8,1,4,13,12500,Yes,No,No,No,1,0,1,0,0,0,5,grossglockner heiligenblut,128.0,Grossglockner Heiligenblut,1036.7,128.0
309,Brandnertal-Brand-?Bu?rserberg,47.119176,9.7578764,Austria,Europe,46,December - April,2000,904,22,30,3,55,5,82,6,6,3,15,18963,Yes,Yes,Yes,No,1,0,1,1,1,0,5,brandnertal brand bu rserberg,370.0,Brandnertal,979.8,370.0
310,Alpe du Grand-Serre-La Morte,45.0274177,5.8581966,France,Europe,27,December - March,2184,1367,36,17,2,55,0,0,12,3,0,15,13486,Yes,Yes,No,No,8,0,1,1,0,0,4,alpe du grand serre la morte,632.0,Alpe du Grand-Serre,941.1,632.0
311,Les Angles,43.0835762,0.0062129,France,Europe,38,November - April,2376,1600,22,23,10,55,0,363,15,4,1,20,21787,Yes,Yes,Yes,No,8,0,1,1,1,0,6,les angles,2215.0,Les Chosalets,853.1,2215.0
312,Kopaonik,43.2689885,20.826741,Serbia,Europe,30,December - April,2017,1057,30,19,6,55,0,315,14,13,0,27,35052,Yes,Yes,Yes,No,24,0,1,1,1,0,5,kopaonik,,,,
313,Aussois,45.2275415,6.7413988,France,Europe,29,December - April,2750,1500,30,22,3,55,0,130,4,4,0,8,9228,Yes,Yes,No,No,8,0,1,1,0,0,5,aussois,347.0,Aussois,984.0,347.0
314,Apache,35.214632,-109.4786676,USA,North America,48,Unknown,3475,2926,12,18,25,55,0,0,2,8,1,11,15800,Yes,No,No,No,10,1,1,0,0,0,0,apache,688.0,Ski Apache,934.5,688.0
315,Erciyes-Kayseri,38.5327397,35.4502248,Turkey,Asia,17,December - April,3360,2100,18,29,7,54,0,82,4,11,2,17,23800,Yes,No,No,No,25,4,1,0,0,0,5,erciyes kayseri,,,,
316,Hunter Mountain,42.1778662,-74.2304216,USA,North America,68,Unknown,975,487,18,18,19,55,0,0,4,9,0,13,15910,Yes,No,No,No,10,1,1,0,0,0,0,hunter,610.0,Hunter Mountain,943.9,610.0
317,First-Grindelwald,46.6504815,8.065073279,Switzerland,Europe,55,December - March,2501,1050,30,15,8,53,6,38,3,3,3,9,12720,Yes,Yes,No,No,6,0,1,1,0,0,4,first grindelwald,112.0,First – Grindelwald,1044.8,112.0
318,So?renberg-Rothorn-?Dorf,46.8221657,8.0349311,Switzerland,Europe,44,December - April,2350,1110,30,15,8,53,0,0,12,3,2,17,20930,Yes,Yes,Yes,No,6,0,1,1,1,0,5,so renberg rothorn dorf,1302.0,Rochers de Naye,892.4,1302.0
319,Riserva Bianca-Limone Piemonte,44.1853305,7.581660887,Italy,Europe,34,December - April,2060,1046,11,35,5,51,0,0,5,11,1,17,20655,Yes,No,No,No,7,0,1,0,0,0,5,riserva bianca limone piemonte,367.0,Riserva Bianca,980.5,367.0
320,Eldora Mountain,37.3862661,-122.0726046,USA,North America,80,November - April,3292,2804,11,26,15,52,0,0,3,8,0,11,13020,Yes,Yes,Yes,No,10,1,1,1,1,0,6,eldora,452.0,Eldora Mountain,966.2,452.0
321,Donner Ski Ranch,39.3188801,-120.331067,USA,North America,59,December - April,2371,2142,13,26,13,52,2,0,0,6,0,6,6500,Yes,No,No,No,10,1,1,0,0,0,5,donner ranch,941.0,Donner Ski Ranch,914.5,941.0
322,Las Len?as,-35.1455071,-70.0820619,Argentina,South America,44,June - September,3430,2200,5,12,35,52,0,0,7,7,0,14,13340,Yes,Yes,Yes,Yes,13,3,1,1,1,1,4,las len as,,,,
323,Happo-One-Hakuba,36.7035607,137.8226173,Japan,Asia,40,December - May,1831,760,16,26,10,52,0,0,0,21,1,22,29100,Yes,Yes,Yes,No,15,4,1,1,1,0,6,happo one hakuba,108.0,Happo-One,1045.8,108.0
324,Gitschberg Jochtal,46.82666885,11.6645207,Italy,Europe,46,December - April,1354,772,17,25,9,51,6,90,14,4,6,24,23617,Yes,Yes,No,No,7,0,1,1,0,0,5,gitschberg jochtal,187.0,Gitschberg Jochtal,1020.8,187.0
325,Schilthorn-Mu?rren-?Lauterbrunnen,46.55744425,7.892432481,Switzerland,Europe,55,December - April,2970,796,19,23,9,51,15,38,3,7,6,16,13852,Yes,Yes,No,No,6,0,1,1,0,0,5,schilthorn mu rren lauterbrunnen,72.0,Schilthorn,1074.7,72.0
326,Dachstein West,47.5149184,13.4498696,Austria,Europe,42,December - April,1620,780,15,33,3,51,4,163,25,8,3,36,32938,Yes,Yes,Yes,No,1,0,1,1,1,0,5,dachstein west,285.0,Dachstein West,996.0,285.0
327,Cypress Mountain,49.3976802,-123.2011443,Canada,North America,44,November - April,1440,824,6,22,22,50,4,42,1,6,0,7,10300,Yes,Yes,Yes,No,2,1,1,1,1,0,6,cypress,637.0,Cypress Mountain,940.4,637.0
328,Pila,45.7699441,8.0810802,Italy,Europe,42,November - April,1540,570,8,35,6,49,0,480,5,8,4,17,22154,Yes,Yes,No,No,7,0,1,1,0,0,6,pila,245.0,Pila,1005.4,245.0
329,Brigels-?Waltensburg-?Andiast,46.7700497,9.067384,Switzerland,Europe,49,December - March,2418,1110,13,33,3,49,7,100,9,4,0,13,10030,Yes,Yes,Yes,No,6,0,1,1,1,0,4,brigels waltensburg andiast,248.0,Brigels/Waltensburg/Andiast,1003.8,248.0
330,Aprica,46.152697,10.151656,Italy,Europe,38,November - May,2270,1162,28,14,7,49,0,0,10,4,2,16,13965,Yes,Yes,No,No,7,0,1,1,0,0,7,aprica,361.0,Aprica,981.5,361.0
331,Bormio-Cima Bianca,46.4397574,10.3924531,Italy,Europe,40,November - April,3012,1225,14,34,2,50,8,240,8,5,2,15,17630,Yes,Yes,Yes,No,7,0,1,1,1,0,6,bormio cima bianca,100.0,Bormio,1052.8,100.0
332,Sedrun-Oberalp,46.6652022,8.704905479,Switzerland,Europe,53,November - April,2300,1500,10,35,5,50,3,0,7,5,0,12,12100,Yes,Yes,No,No,6,0,1,1,0,0,6,sedrun oberalp,98.0,Andermatt/Oberalp/Sedrun,1053.6,98.0
333,Grosseck-?Speiereck-Mauterndorf-?St. Michael,47.1217604,13.64406919,Austria,Europe,41,December - April,2400,1095,26,17,7,50,8,150,6,4,2,12,14286,Yes,No,Yes,No,1,0,1,0,1,0,5,grosseck speiereck mauterndorf st michael,254.0,Grosseck/Speiereck,1003.0,254.0
334,Hirmentaz-?Les Habe?res-Bellevaux-?Habe?re-Poche,46.2511455,6.517806672,France,Europe,24,December - March,1610,923,30,17,3,50,0,0,27,6,0,33,29480,Yes,Yes,No,No,8,0,1,1,0,0,4,hirmentaz les habe res bellevaux habe re poche,664.0,Hirmentaz/Les Habères,937.3,664.0
335,Pragelato,45.0162171,6.9424531,Italy,Europe,0,December - April,2700,1335,14,32,4,50,0,0,4,1,0,5,3660,Yes,No,No,No,7,0,1,0,0,0,5,pragelato,3091.0,Pragelato,820.0,3091.0
336,Porte? Puymorens,42.5488878,1.833462,France,Europe,30,September - April,2471,1600,21,20,9,50,0,70,5,4,0,9,7380,Yes,Yes,No,No,8,0,1,1,0,0,8,porte puymorens,490.0,Porté Puymorens,962.0,490.0
337,Mythenregion,47.0217081,8.723539208,Switzerland,Europe,39,December - March,1070,573,18,31,1,50,0,55,11,0,4,15,12592,Yes,Yes,No,No,6,0,1,1,0,0,4,mythenregion,662.0,Mythenregion,937.5,662.0
338,Candanchu?,42.78888865,-0.52873445,Spain,Europe,41,December - April,2236,1514,15,18,15,48,0,0,19,6,0,25,19650,Yes,No,No,No,18,0,1,0,0,0,5,candanchu,334.0,Candanchú,987.0,334.0
339,Zugspitze,47.421215,10.986297,Germany,Europe,45,May,2000,700,7,13,0,20,2,0,4,2,4,10,13150,Yes,No,No,No,5,0,1,0,0,0,1,zugspitze,233.0,Zugspitze,1009.1,233.0
340,Zao Onsen,38.1679266,140.4003442,Japan,Asia,39,December - May,1661,780,20,20,10,50,0,0,0,38,4,42,50000,Yes,Yes,No,No,15,4,1,1,0,0,6,zao onsen,143.0,Zao Onsen,1032.8,143.0
341,Lindvallen-?Ho?gfja?llet-Sa?len-,61.159705,13.193609,Sweden,Europe,41,November - May,887,579,22,17,3,42,5,0,49,4,0,53,50505,Yes,Yes,Yes,No,19,0,1,1,1,0,7,lindvallen ho gfja llet sa len,3147.0,Lindvallen/Högfjället (Sälen),817.3,3147.0
342,Jasna? Ni?zke Tatry-Chopok,48.966941,19.58101661,Slovakia,Europe,39,December - May,2004,943,19,17,7,43,6,527,19,8,5,32,35225,Yes,Yes,Yes,No,26,0,1,1,1,0,6,jasna ni zke tatry chopok,,,,
343,Mitsumata-?Kagura-?Tashiro-Mt. Naeba-,36.3937327,139.0890263,Japan,Asia,44,November - May,1845,620,7,8,8,23,0,0,0,19,4,23,31400,Yes,Yes,No,No,15,4,1,1,0,0,7,mitsumata kagura tashiro naeba,104.0,Mitsumata/Kagura/Tashiro (Mt. Naeba),1049.0,104.0
344,Tanda?dalen-?Hundfja?llet-Sa?len-,61.1792462,12.9919443,Sweden,Europe,41,November - May,872,572,18,15,12,45,3,0,42,4,0,46,42636,Yes,Yes,Yes,No,19,0,1,1,1,0,7,tanda dalen hundfja llet sa len,346.0,Tandådalen/Hundfjället (Sälen),984.2,346.0
345,Appi Kogen,40.0123954,140.9976755,Japan,Asia,43,Unknown,1328,500,13,18,13,44,0,0,2,14,2,18,23800,Yes,No,No,No,15,4,1,0,0,0,0,appi kogen,166.0,Appi Kogen,1026.1,166.0
346,Gazprom Mountain Resort-Laura- Esto-Sadok-Sotschi-,43.684855,40.281935,Russia,Europe,32,December - April,949,547,7,10,2,19,3,0,6,6,6,18,27874,Yes,No,Yes,No,21,0,1,0,1,0,5,gazprom laura esto sadok sotschi,,,,
347,Rusutsu,42.7374243,140.8754821,Japan,Asia,45,November - April,994,400,12,16,12,40,0,0,3,14,4,21,31128,Yes,Yes,Yes,No,15,4,1,1,1,0,6,rusutsu,82.0,Rusutsu,1064.7,82.0
348,Steinplatte-?Winklmoosalm-Waidring-?Reit im Winkl,48.7329198,15.5705666,Austria,Europe,46,November - April,1860,740,18,22,2,42,12,107,3,9,2,14,31940,Yes,Yes,No,No,1,0,1,1,0,0,6,steinplatte winklmoosalm waidring reit im winkl,272.0,Steinplatte-Winklmoosalm,998.7,272.0
349,Uludag?-Bursa,40.0705295,29.2220098,Turkey,Asia,0,Unknown,1767,395,10,15,3,28,0,0,8,6,2,16,19637,Yes,Yes,No,No,25,4,1,1,0,0,0,uludag bursa,,,,
350,Rigi,47.0567184,8.4853157,Switzerland,Europe,44,Unknown,1315,439,4,4,0,8,0,0,4,0,3,7,6500,Yes,No,No,No,6,0,1,0,0,0,0,rigi,455.0,Rigi,966.0,455.0
351,Me?tabief,46.7734907,6.3505765,France,Europe,26,Unknown,1420,1000,19,18,2,39,0,0,20,8,0,28,24745,Yes,No,No,No,8,0,1,0,0,0,0,me tabief,953.0,Métabief,913.9,953.0
352,Vitosha-Sofia,42.6167377,23.27422928,Bulgaria,Europe,18,December - April,2290,726,12,6,2,20,5,0,8,5,2,15,12450,Yes,No,Yes,No,17,0,1,0,1,0,5,vitosha sofia,,,,
353,Latemar-Obereggen-?Pampeago-?Predazzo,46.3563067,11.53719305,Italy,Europe,47,November - April,1540,1050,9,32,7,48,3,200,6,13,3,22,36540,Yes,Yes,Yes,No,7,0,1,1,1,0,6,latemar obereggen pampeago predazzo,211.0,Latemar,1014.3,211.0
354,Szczyrk-Skrzyczne,49.7071204,19.0117088,Poland,Europe,20,December - April,1257,524,22,7,4,33,0,0,11,4,1,16,22500,Yes,No,No,No,27,0,1,0,0,0,5,szczyrk skrzyczne,,,,
355,Mariborsko Pohorje-Maribor,46.5153389,15.5782311,Slovenia,Europe,31,December - March,1327,325,23,13,5,41,0,92,16,5,1,22,23436,Yes,No,Yes,No,16,0,1,0,1,0,4,mariborsko pohorje maribor,,,,
356,El Colorado-?Farellones,-33.3398691,-70.2915752,Chile,South America,64,June - October,3333,2380,25,10,15,50,5,0,21,4,0,25,21500,Yes,Yes,No,Yes,4,3,1,1,0,1,5,el colorado farellones,,,,
357,Praz de Lys-?Sommand-Taninges-?Mieussy-,46.15746735,6.569485327,France,Europe,29,December - April,1966,1240,22,16,6,44,0,60,18,6,0,24,26205,Yes,Yes,No,No,8,0,1,1,0,0,5,praz de lys sommand taninges mieussy,462.0,Praz de Lys/Sommand,965.5,462.0
358,Jahorina,43.7233441,18.59622766,Bosnia and Herzegovina,Europe,20,Unknown,1889,920,3,19,3,25,0,0,5,5,1,11,16230,Yes,No,Yes,No,28,0,1,0,1,0,0,jahorina,,,,
359,Espace Do?le-La Do?le-?Les Tuffes,47.0944134,5.492668685,France,Europe,27,December - March,1678,1137,17,8,2,27,0,0,18,3,0,21,19380,Yes,Yes,No,No,8,0,1,1,0,0,4,espace do le la do le les tuffes,702.0,La Dôle/Les Tuffes,933.5,702.0
360,Myoko Akakura,36.89304245,138.1795517,Japan,Asia,39,Unknown,1491,687,9,8,2,19,0,0,2,20,1,23,37400,Yes,Yes,Yes,No,15,4,1,1,1,0,0,myoko akakura,125.0,Myoko Akakura,1039.1,125.0
361,Naeba-Mt. Naeba-,36.8459419,138.690323,Japan,Asia,44,December - April,1789,900,6,8,6,20,4,0,0,12,3,15,25400,Yes,Yes,Yes,No,15,4,1,1,1,0,5,naeba naeba,152.0,Naeba,1030.2,152.0
362,Nozawa Onsen,36.91722415,138.4640226,Japan,Asia,37,November - April,1650,565,22,13,9,44,0,0,1,15,3,19,29772,Yes,Yes,Yes,No,15,4,1,1,1,0,6,nozawa onsen,160.0,Nozawa Onsen,1027.9,160.0
363,Kreischberg,47.0634486,14.03933,Austria,Europe,44,December - April,2118,868,17,16,9,42,7,110,7,4,3,14,18808,Yes,Yes,No,No,1,0,1,1,0,0,5,kreischberg,232.0,Kreischberg,1009.3,232.0
364,Garmisch-Classic-Garmisch-Partenkirchen,47.4596073,11.07616628,Germany,Europe,43,December - April,2050,732,12,18,10,40,8,0,11,4,4,19,21090,Yes,Yes,No,No,5,0,1,1,0,0,5,garmisch classic garmisch partenkirchen,78.0,Garmisch-Classic,1069.6,78.0
365,Carezza Ski,46.42089735,11.58845807,Italy,Europe,41,December - April,2337,1200,21,14,3,38,7,175,13,5,2,20,19200,Yes,Yes,No,No,7,0,1,1,0,0,5,carezza,246.0,Carezza,1005.4,246.0
366,Pizol-Bad Ragaz-?Wangs,46.979739,9.436717,Switzerland,Europe,51,December - April,510,490,14,21,8,43,9,62,5,4,2,11,12786,Yes,Yes,Yes,No,6,0,1,1,1,0,5,pizol bad ragaz wangs,155.0,Pizol,1029.5,155.0
367,SuperBesse-Puy de Sancy,45.506646,2.8594,France,Europe,32,December - April,1850,1300,30,9,4,43,0,299,16,5,1,22,21245,Yes,Yes,Yes,No,8,0,1,1,1,0,5,superbesse puy de sancy,496.0,SuperBesse,960.6,496.0
368,Sto?ten,61.2660478,12.8904555,Sweden,Europe,41,Unknown,830,443,26,3,3,32,0,0,17,2,0,19,19250,Yes,No,No,No,19,0,1,0,0,0,0,sto ten,657.0,Stöten,938.2,657.0
